Run_ID,SHD,Error
3,120,
9,138,
6,154,
8,139,
10,170,
151,405,
5,156,
7,182,
4,157,
12,117,
13,109,
11,140,
16,110,
14,151,
18,155,
17,136,
15,171,
19,130,
153,125,
20,161,
21,177,
152,136,
22,167,
23,159,
26,123,
25,156,
30,,RecursionError: maximum recursion depth exceeded while calling a Python object
24,174,
154,100,
155,132,
27,139,
29,112,
28,164,
32,109,
156,136,
33,132,
37,129,
35,143,
36,108,
40,405,
158,130,
38,120,
39,131,
44,,RecursionError: maximum recursion depth exceeded while calling a Python object
157,133,
41,120,
159,118,
42,156,
43,138,
45,131,
160,116,
48,115,
47,138,
46,140,
50,136,
51,405,
49,186,
162,113,
52,152,
53,148,
54,121,
56,111,
163,133,
55,130,
57,132,
161,112,
59,125,
58,152,
60,114,
164,167,
63,130,
62,129,
61,143,
66,139,
64,130,
165,121,
65,176,
67,115,
69,140,
72,405,
70,130,
166,162,
167,139,
68,174,
71,131,
73,121,
168,132,
74,126,
169,133,
78,100,
79,134,
80,122,
76,127,
88,,RecursionError: maximum recursion depth exceeded while calling a Python object
81,121,
82,166,
171,114,
83,171,
84,141,
170,144,
86,118,
85,135,
91,405,
87,137,
172,141,
90,147,
89,169,
92,114,
173,152,
94,128,
93,103,
96,131,
95,136,
97,136,
98,107,
174,135,
106,,RecursionError: maximum recursion depth exceeded while calling a Python object
99,141,
175,115,
100,125,
101,139,
176,149,
103,150,
104,168,
105,160,
102,118,
108,98,
177,138,
107,141,
109,116,
110,130,
111,146,
112,149,
114,131,
179,135,
113,117,
178,150,
116,128,
117,145,
115,164,
118,117,
180,134,
181,113,
120,117,
121,128,
185,,RecursionError: maximum recursion depth exceeded while calling a Python object
122,104,
119,126,
124,132,
126,131,
123,179,
125,154,
142,129,
140,109,
137,96,
135,117,
141,145,
136,158,
189,405,
139,128,
187,139,
143,142,
144,109,
190,143,
147,155,
146,133,
148,112,
145,183,
188,139,
149,139,
150,142,
191,128,
192,136,
193,138,
194,132,
196,125,
201,125,
202,118,
195,126,
197,129,
198,145,
203,108,
204,156,
199,156,
205,135,
200,158,
207,,RecursionError: maximum recursion depth exceeded while calling a Python object
206,163,
209,,RecursionError: maximum recursion depth exceeded while calling a Python object
208,125,
210,122,
214,107,
212,128,
216,145,
213,174,
215,169,
211,158,
218,130,
217,136,
219,134,
222,127,
220,169,
221,142,
224,137,
225,405,
223,154,
230,,RecursionError: maximum recursion depth exceeded while calling a Python object
226,171,
227,139,
228,130,
229,114,
232,117,
231,123,
233,114,
235,102,
234,162,
236,113,
238,122,
237,166,
239,138,
242,111,
240,134,
241,157,
243,125,
244,111,
247,125,
245,134,
246,136,
248,150,
249,134,
250,111,
