,u,v,edge_type,count
0,Worry_1,Worry_2,u->v,49
1,Worry_1,Worry_2,v->u,1
2,Worry_1,Worry_2,undirected,0
3,Worry_1,Worry_2,none,166
4,Worry_1,Worry_2,unknown,7
5,Worry_1,Worry_3,u->v,14
6,Worry_1,Worry_3,v->u,20
7,Worry_1,Worry_3,undirected,0
8,Worry_1,Worry_3,none,182
9,Worry_1,Worry_3,unknown,7
10,Worry_1,Worry_4,u->v,52
11,Worry_1,Worry_4,v->u,16
12,Worry_1,Worry_4,undirected,0
13,Worry_1,Worry_4,none,148
14,Worry_1,Worry_4,unknown,7
15,Worry_1,Worry_5,u->v,12
16,Worry_1,Worry_5,v->u,25
17,Worry_1,Worry_5,undirected,0
18,Worry_1,Worry_5,none,179
19,Worry_1,Worry_5,unknown,7
20,Worry_1,Worry_6,u->v,6
21,Worry_1,Worry_6,v->u,29
22,Worry_1,Worry_6,undirected,0
23,Worry_1,Worry_6,none,181
24,Worry_1,Worry_6,unknown,7
25,Worry_1,Worry_7,u->v,25
26,Worry_1,Worry_7,v->u,49
27,Worry_1,Worry_7,undirected,0
28,Worry_1,Worry_7,none,142
29,Worry_1,Worry_7,unknown,7
30,Worry_1,Worry_8,u->v,10
31,Worry_1,Worry_8,v->u,18
32,Worry_1,Worry_8,undirected,0
33,Worry_1,Worry_8,none,188
34,Worry_1,Worry_8,unknown,7
35,Worry_1,Worry_9,u->v,8
36,Worry_1,Worry_9,v->u,18
37,Worry_1,Worry_9,undirected,0
38,Worry_1,Worry_9,none,190
39,Worry_1,Worry_9,unknown,7
40,Worry_1,Worry_10,u->v,33
41,Worry_1,Worry_10,v->u,47
42,Worry_1,Worry_10,undirected,0
43,Worry_1,Worry_10,none,136
44,Worry_1,Worry_10,unknown,7
45,Worry_1,MistrustB_1,u->v,5
46,Worry_1,MistrustB_1,v->u,29
47,Worry_1,MistrustB_1,undirected,1
48,Worry_1,MistrustB_1,none,181
49,Worry_1,MistrustB_1,unknown,7
50,Worry_1,MistrustB_2,u->v,2
51,Worry_1,MistrustB_2,v->u,31
52,Worry_1,MistrustB_2,undirected,0
53,Worry_1,MistrustB_2,none,183
54,Worry_1,MistrustB_2,unknown,7
55,Worry_1,MistrustB_3,u->v,4
56,Worry_1,MistrustB_3,v->u,37
57,Worry_1,MistrustB_3,undirected,0
58,Worry_1,MistrustB_3,none,175
59,Worry_1,MistrustB_3,unknown,7
60,Worry_1,MistrustB_4,u->v,3
61,Worry_1,MistrustB_4,v->u,19
62,Worry_1,MistrustB_4,undirected,0
63,Worry_1,MistrustB_4,none,194
64,Worry_1,MistrustB_4,unknown,7
65,Worry_1,MistrustB_5,u->v,7
66,Worry_1,MistrustB_5,v->u,31
67,Worry_1,MistrustB_5,undirected,0
68,Worry_1,MistrustB_5,none,178
69,Worry_1,MistrustB_5,unknown,7
70,Worry_1,MistrustB_6,u->v,4
71,Worry_1,MistrustB_6,v->u,20
72,Worry_1,MistrustB_6,undirected,0
73,Worry_1,MistrustB_6,none,192
74,Worry_1,MistrustB_6,unknown,7
75,Worry_1,MistrustB_7,u->v,3
76,Worry_1,MistrustB_7,v->u,32
77,Worry_1,MistrustB_7,undirected,0
78,Worry_1,MistrustB_7,none,181
79,Worry_1,MistrustB_7,unknown,7
80,Worry_1,MistrustB_8,u->v,4
81,Worry_1,MistrustB_8,v->u,22
82,Worry_1,MistrustB_8,undirected,0
83,Worry_1,MistrustB_8,none,190
84,Worry_1,MistrustB_8,unknown,7
85,Worry_1,MistrustB_9,u->v,4
86,Worry_1,MistrustB_9,v->u,24
87,Worry_1,MistrustB_9,undirected,0
88,Worry_1,MistrustB_9,none,188
