u,v,edge_type,count,prop,sum,undirected_props
Worry_9,L5,v->u,135,0.8766233766233766,154,0.8766233766233766
Worry_8,L5,v->u,133,0.8636363636363636,154,0.8701298701298701
Worry_7,Worry_8,u->v,121,0.7857142857142857,154,0.7987012987012987
Worry_7,Worry_9,u->v,120,0.7792207792207793,154,0.8311688311688312
Sleep_6,L2,v->u,114,0.7402597402597403,154,0.7402597402597403
Sleep_5,L2,v->u,109,0.7077922077922078,154,0.7207792207792207
Sleep_4,L2,v->u,106,0.6883116883116883,154,0.6948051948051948
MistrustB_4,L3,v->u,96,0.6233766233766234,154,0.6363636363636364
MistrustB_7,L3,v->u,95,0.6168831168831169,154,0.6168831168831169
MistrustB_10,L3,v->u,95,0.6168831168831169,154,0.6168831168831169
Sleep_5,L10,v->u,91,0.5909090909090909,154,0.5974025974025974
MistrustB_2,L3,v->u,90,0.5844155844155844,154,0.5909090909090908
MistrustB_1,L3,v->u,89,0.577922077922078,154,0.5844155844155844
MistrustB_9,L3,v->u,88,0.5714285714285714,154,0.6038961038961038
Sleep_6,L10,v->u,88,0.5714285714285714,154,0.5714285714285714
MistrustB_6,L3,v->u,87,0.564935064935065,154,0.577922077922078
MistrustB_8,L3,v->u,86,0.5584415584415584,154,0.5779220779220778
Sleep_4,L10,v->u,86,0.5584415584415584,154,0.5714285714285713
MistrustB_3,L3,v->u,83,0.538961038961039,154,0.551948051948052
MistrustB_5,L3,v->u,80,0.5194805194805194,154,0.5194805194805194
Sleep_7,L2,v->u,70,0.45454545454545453,154,0.474025974025974
Sleep_1,L2,v->u,68,0.44155844155844154,154,0.461038961038961
Sleep_2,L2,v->u,65,0.42207792207792205,154,0.44155844155844154
Worry_2,L8,v->u,64,0.4155844155844156,154,0.4220779220779221
Worry_4,L3,v->u,64,0.4155844155844156,154,0.4155844155844156
Worry_7,L1,v->u,60,0.38961038961038963,154,0.4350649350649351
MistrustB_1,L7,v->u,59,0.38311688311688313,154,0.3961038961038961
Worry_3,L3,v->u,58,0.37662337662337664,154,0.37662337662337664
Sleep_7,L10,v->u,58,0.37662337662337664,154,0.38311688311688313
MistrustB_6,L7,v->u,57,0.37012987012987014,154,0.37662337662337664
Sleep_3,L2,v->u,57,0.37012987012987014,154,0.4090909090909091
Worry_1,L8,v->u,54,0.35064935064935066,154,0.35714285714285715
Sleep_1,L10,v->u,53,0.34415584415584416,154,0.35714285714285715
MistrustB_4,L7,v->u,52,0.33766233766233766,154,0.34415584415584416
Sleep_2,L10,v->u,51,0.33116883116883117,154,0.33766233766233766
MistrustB_3,L7,v->u,49,0.3181818181818182,154,0.33116883116883117
MistrustB_8,L7,v->u,49,0.3181818181818182,154,0.34415584415584416
MistrustB_10,L7,v->u,49,0.3181818181818182,154,0.3181818181818182
Sleep_2,Sleep_3,v->u,49,0.3181818181818182,154,0.474025974025974
MistrustB_2,L7,v->u,46,0.2987012987012987,154,0.2987012987012987
MistrustB_7,L7,v->u,46,0.2987012987012987,154,0.2987012987012987
Worry_6,L1,v->u,42,0.2727272727272727,154,0.34415584415584416
MistrustB_9,L7,v->u,42,0.2727272727272727,154,0.2987012987012987
Sleep_1,Sleep_3,v->u,42,0.2727272727272727,154,0.2987012987012987
Worry_2,L3,v->u,40,0.2597402597402597,154,0.2597402597402597
Worry_5,Worry_7,v->u,40,0.2597402597402597,154,0.2857142857142857
Worry_5,L3,v->u,40,0.2597402597402597,154,0.2662337662337662
Sleep_3,L10,v->u,40,0.2597402597402597,154,0.2922077922077922
Worry_7,Worry_10,u->v,39,0.2532467532467532,154,0.35064935064935066
Worry_7,L3,v->u,39,0.2532467532467532,154,0.3051948051948052
Worry_10,L3,v->u,39,0.2532467532467532,154,0.2662337662337662
Worry_6,Sleep_3,u->v,38,0.24675324675324675,154,0.3246753246753247
Worry_7,Sleep_4,u->v,38,0.24675324675324675,154,0.2792207792207792
Worry_6,Sleep_1,u->v,37,0.24025974025974026,154,0.2597402597402597
Worry_5,L5,v->u,36,0.23376623376623376,154,0.24675324675324675
Worry_7,Sleep_5,u->v,34,0.22077922077922077,154,0.2597402597402597
Worry_7,Sleep_6,u->v,34,0.22077922077922077,154,0.24025974025974026
Worry_8,Worry_10,v->u,34,0.22077922077922077,154,0.23376623376623376
Worry_9,Worry_10,v->u,34,0.22077922077922077,154,0.2662337662337662
Worry_6,Sleep_2,u->v,33,0.21428571428571427,154,0.2662337662337662
MistrustB_5,L7,v->u,33,0.21428571428571427,154,0.21428571428571427
Worry_1,L3,v->u,32,0.2077922077922078,154,0.2207792207792208
Worry_1,Worry_2,u->v,31,0.2012987012987013,154,0.2012987012987013
Worry_1,Worry_4,u->v,30,0.19480519480519481,154,0.2077922077922078
Worry_6,L3,v->u,30,0.19480519480519481,154,0.25974025974025977
MistrustB_5,L6,v->u,30,0.19480519480519481,154,0.2077922077922078
Worry_5,L1,v->u,29,0.18831168831168832,154,0.2142857142857143
Worry_10,L6,v->u,28,0.18181818181818182,154,0.24025974025974028
L1,L5,u->v,28,0.18181818181818182,154,0.18831168831168832
L3,L6,v->u,28,0.18181818181818182,154,0.3051948051948052
L6,L7,u->v,28,0.18181818181818182,154,0.3116883116883117
Worry_3,Worry_7,v->u,27,0.17532467532467533,154,0.18181818181818182
Worry_7,Sleep_3,u->v,27,0.17532467532467533,154,0.2272727272727273
Worry_10,L1,v->u,27,0.17532467532467533,154,0.2012987012987013
Sleep_3,L3,v->u,27,0.17532467532467533,154,0.19480519480519481
Worry_6,Worry_10,u->v,26,0.16883116883116883,154,0.24675324675324678
Worry_6,Sleep_7,u->v,26,0.16883116883116883,154,0.2012987012987013
Worry_6,L2,v->u,26,0.16883116883116883,154,0.24025974025974028
Worry_10,L2,v->u,26,0.16883116883116883,154,0.18831168831168832
MistrustB_2,MistrustB_8,v->u,26,0.16883116883116883,154,0.19480519480519481
MistrustB_4,MistrustB_8,v->u,26,0.16883116883116883,154,0.18181818181818182
