,u,v,edge_type,count
0,Worry_1,Worry_2,u->v,31
1,Worry_1,Worry_2,v->u,0
2,Worry_1,Worry_2,undirected,0
3,Worry_1,Worry_2,none,123
4,Worry_1,Worry_2,unknown,0
5,Worry_1,Worry_3,u->v,22
6,Worry_1,Worry_3,v->u,4
7,Worry_1,Worry_3,undirected,0
8,Worry_1,Worry_3,none,128
9,Worry_1,Worry_3,unknown,0
10,Worry_1,Worry_4,u->v,30
11,Worry_1,Worry_4,v->u,2
12,Worry_1,Worry_4,undirected,0
13,Worry_1,Worry_4,none,122
14,Worry_1,Worry_4,unknown,0
15,Worry_1,Worry_5,u->v,18
16,Worry_1,Worry_5,v->u,1
17,Worry_1,Worry_5,undirected,0
18,Worry_1,Worry_5,none,135
19,Worry_1,Worry_5,unknown,0
20,Worry_1,Worry_6,u->v,6
21,Worry_1,Worry_6,v->u,6
22,Worry_1,Worry_6,undirected,3
23,Worry_1,Worry_6,none,139
24,Worry_1,Worry_6,unknown,0
25,Worry_1,Worry_7,u->v,15
26,Worry_1,Worry_7,v->u,7
27,Worry_1,Worry_7,undirected,0
28,Worry_1,Worry_7,none,132
29,Worry_1,Worry_7,unknown,0
30,Worry_1,Worry_8,u->v,0
31,Worry_1,Worry_8,v->u,16
32,Worry_1,Worry_8,undirected,0
33,Worry_1,Worry_8,none,138
34,Worry_1,Worry_8,unknown,0
35,Worry_1,Worry_9,u->v,0
36,Worry_1,Worry_9,v->u,22
37,Worry_1,Worry_9,undirected,0
38,Worry_1,Worry_9,none,132
39,Worry_1,Worry_9,unknown,0
40,Worry_1,Worry_10,u->v,11
41,Worry_1,Worry_10,v->u,5
42,Worry_1,Worry_10,undirected,0
43,Worry_1,Worry_10,none,138
44,Worry_1,Worry_10,unknown,0
45,Worry_1,MistrustB_1,u->v,17
46,Worry_1,MistrustB_1,v->u,0
47,Worry_1,MistrustB_1,undirected,1
48,Worry_1,MistrustB_1,none,136
49,Worry_1,MistrustB_1,unknown,0
50,Worry_1,MistrustB_2,u->v,15
51,Worry_1,MistrustB_2,v->u,1
52,Worry_1,MistrustB_2,undirected,0
53,Worry_1,MistrustB_2,none,138
54,Worry_1,MistrustB_2,unknown,0
55,Worry_1,MistrustB_3,u->v,17
56,Worry_1,MistrustB_3,v->u,3
57,Worry_1,MistrustB_3,undirected,0
58,Worry_1,MistrustB_3,none,134
59,Worry_1,MistrustB_3,unknown,0
