Scenario,Method,Sample_Size,Run_ID,F1 Score,SHD
Measured1,RLCD,2000,1,0.7692307692307693,6
Measured1,LaHME,2000,1,0,25
Measured2,RLCD,2000,1,0.41666666666666663,16
Measured2,LaHME,2000,1,0,23
Simple_Case_Tree,RLCD,2000,1,0.8,5
Simple_Case_Tree,LaHME,2000,1,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,1,1,0
Tree_Case_Flexible,LaHME,2000,1,0.30769230769230765,18
Latent_Hierarchical_Structure,RLCD,2000,1,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,2000,1,0.2,24
LLCM_Flexible,RLCD,2000,1,0.4390243902439024,29
LLCM_Flexible,LaHME,2000,1,0.5714285714285715,23
Measured1,RLCD,5000,1,0.7692307692307693,6
Measured1,LaHME,5000,1,0,27
Measured2,RLCD,5000,1,0.41666666666666663,16
Measured2,LaHME,5000,1,0,24
Simple_Case_Tree,RLCD,5000,1,0.8,5
Simple_Case_Tree,LaHME,5000,1,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,1,1,0
Tree_Case_Flexible,LaHME,5000,1,0.5185185185185186,13
Latent_Hierarchical_Structure,RLCD,5000,1,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,5000,1,0.2,24
LLCM_Flexible,RLCD,5000,1,0.7,16
LLCM_Flexible,LaHME,5000,1,0.47058823529411764,24
Measured1,RLCD,10000,1,0.7692307692307693,6
Measured1,LaHME,10000,1,0,28
Measured2,RLCD,10000,1,0.41666666666666663,16
Measured2,LaHME,10000,1,0,24
Simple_Case_Tree,RLCD,10000,1,0.8,5
Simple_Case_Tree,LaHME,10000,1,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,1,1,0
Tree_Case_Flexible,LaHME,10000,1,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,10000,1,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,10000,1,0.2,24
LLCM_Flexible,RLCD,10000,1,0.7,16
LLCM_Flexible,LaHME,10000,1,0.5,26
Measured1,RLCD,2000,2,0.7692307692307693,6
Measured1,LaHME,2000,2,0,25
Measured2,RLCD,2000,2,0.41666666666666663,16
Measured2,LaHME,2000,2,0,24
Simple_Case_Tree,RLCD,2000,2,0.8,5
Simple_Case_Tree,LaHME,2000,2,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,2,1,0
Tree_Case_Flexible,LaHME,2000,2,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,2000,2,0.9411764705882353,2
Latent_Hierarchical_Structure,LaHME,2000,2,0.2,24
LLCM_Flexible,RLCD,2000,2,0.55,20
LLCM_Flexible,LaHME,2000,2,0.4444444444444445,27
Measured1,RLCD,5000,2,0.7692307692307693,6
Measured1,LaHME,5000,2,0,27
Measured2,RLCD,5000,2,0.41666666666666663,16
Measured2,LaHME,5000,2,0,26
Simple_Case_Tree,RLCD,5000,2,0.8,5
Simple_Case_Tree,LaHME,5000,2,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,2,1,0
Tree_Case_Flexible,LaHME,5000,2,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,5000,2,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,5000,2,0.2,24
LLCM_Flexible,RLCD,5000,2,0.4878048780487805,25
Measured1,RLCD,10000,2,0.7692307692307693,6
Measured1,LaHME,10000,2,0,27
Measured2,RLCD,10000,2,0.41666666666666663,16
Measured2,LaHME,10000,2,0,24
Simple_Case_Tree,RLCD,10000,2,0.8,5
Simple_Case_Tree,LaHME,10000,2,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,2,1,0
Tree_Case_Flexible,LaHME,10000,2,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,10000,2,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,10000,2,0.2,24
LLCM_Flexible,RLCD,10000,2,0.6341463414634146,18
LLCM_Flexible,LaHME,10000,2,0.3870967741935483,25
Measured1,RLCD,2000,3,0.7692307692307693,6
Measured1,LaHME,2000,3,0,27
Measured2,RLCD,2000,3,0.41666666666666663,16
Measured2,LaHME,2000,3,0,25
Simple_Case_Tree,RLCD,2000,3,0.8,5
Simple_Case_Tree,LaHME,2000,3,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,3,1,0
Tree_Case_Flexible,LaHME,2000,3,0.30769230769230765,18
Latent_Hierarchical_Structure,RLCD,2000,3,0.7647058823529411,8
Latent_Hierarchical_Structure,LaHME,2000,3,0.2,24
LLCM_Flexible,RLCD,2000,3,0.5853658536585366,21
LLCM_Flexible,LaHME,2000,3,0.5142857142857143,24
Measured1,RLCD,5000,3,0.7692307692307693,6
Measured1,LaHME,5000,3,0,27
Measured2,RLCD,5000,3,0.41666666666666663,16
Measured2,LaHME,5000,3,0,26
Simple_Case_Tree,RLCD,5000,3,0.8,5
Simple_Case_Tree,LaHME,5000,3,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,3,1,0
Tree_Case_Flexible,LaHME,5000,3,0.5714285714285714,12
Latent_Hierarchical_Structure,RLCD,5000,3,0.7647058823529411,8
Latent_Hierarchical_Structure,LaHME,5000,3,0.2,24
LLCM_Flexible,RLCD,5000,3,0.5853658536585366,21
LLCM_Flexible,LaHME,5000,3,0.4,23
Measured1,RLCD,10000,3,0.7692307692307693,6
Measured1,LaHME,10000,3,0,25
Measured2,RLCD,10000,3,0.41666666666666663,16
Measured2,LaHME,10000,3,0,28
Simple_Case_Tree,RLCD,10000,3,0.8,5
Simple_Case_Tree,LaHME,10000,3,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,3,1,0
Tree_Case_Flexible,LaHME,10000,3,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,10000,3,0.9411764705882353,2
Latent_Hierarchical_Structure,LaHME,10000,3,0.2,24
LLCM_Flexible,RLCD,10000,3,0.5365853658536585,21
Measured1,RLCD,2000,4,0.30588235294117644,66
Measured1,LaHME,2000,4,0,25
Measured2,RLCD,2000,4,0.41666666666666663,16
Measured2,LaHME,2000,4,0,24
Simple_Case_Tree,RLCD,2000,4,0.8,5
Simple_Case_Tree,LaHME,2000,4,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,4,0.7407407407407408,7
Tree_Case_Flexible,LaHME,2000,4,0.5185185185185186,13
Latent_Hierarchical_Structure,RLCD,2000,4,0.5,16
Latent_Hierarchical_Structure,LaHME,2000,4,0.2,24
LLCM_Flexible,RLCD,2000,4,0.55,20
LLCM_Flexible,LaHME,2000,4,0.4324324324324324,27
Measured1,RLCD,5000,4,0.7692307692307693,6
Measured1,LaHME,5000,4,0,29
Measured2,RLCD,5000,4,0.41666666666666663,16
Measured2,LaHME,5000,4,0,26
Simple_Case_Tree,RLCD,5000,4,0.8,5
Simple_Case_Tree,LaHME,5000,4,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,4,1,0
Tree_Case_Flexible,LaHME,5000,4,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,5000,4,0.7878787878787877,7
Latent_Hierarchical_Structure,LaHME,5000,4,0.2,24
LLCM_Flexible,RLCD,5000,4,0.55,20
LLCM_Flexible,LaHME,5000,4,0.3225806451612903,26
Measured1,RLCD,10000,4,0.7692307692307693,6
Measured1,LaHME,10000,4,0,24
Measured2,RLCD,10000,4,0.41666666666666663,16
Measured2,LaHME,10000,4,0,26
Simple_Case_Tree,RLCD,10000,4,0.8,5
Simple_Case_Tree,LaHME,10000,4,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,4,1,0
Tree_Case_Flexible,LaHME,10000,4,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,10000,4,0.7878787878787877,7
Latent_Hierarchical_Structure,LaHME,10000,4,0.2,24
LLCM_Flexible,RLCD,10000,4,0.7317073170731706,17
LLCM_Flexible,LaHME,10000,4,0.37499999999999994,24
Measured1,RLCD,2000,5,0.7692307692307693,6
Measured1,LaHME,2000,5,0,27
Measured2,RLCD,2000,5,0.41666666666666663,16
Measured2,LaHME,2000,5,0,24
Simple_Case_Tree,RLCD,2000,5,0.8,5
Simple_Case_Tree,LaHME,2000,5,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,5,1,0
Tree_Case_Flexible,LaHME,2000,5,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,2000,5,0.6250000000000001,12
Latent_Hierarchical_Structure,LaHME,2000,5,0.2,24
LLCM_Flexible,RLCD,2000,5,0.3902439024390244,29
Measured1,RLCD,5000,5,0.7692307692307693,6
Measured1,LaHME,5000,5,0,28
Measured2,RLCD,5000,5,0.41666666666666663,16
Measured2,LaHME,5000,5,0,24
Simple_Case_Tree,RLCD,5000,5,0.8,5
Simple_Case_Tree,LaHME,5000,5,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,5,1,0
Tree_Case_Flexible,LaHME,5000,5,0.4827586206896552,15
Latent_Hierarchical_Structure,RLCD,5000,5,0.6250000000000001,12
Latent_Hierarchical_Structure,LaHME,5000,5,0.2,24
LLCM_Flexible,RLCD,5000,5,0.5853658536585366,21
LLCM_Flexible,LaHME,5000,5,0.4375,23
Measured1,RLCD,10000,5,0.7692307692307693,6
Measured1,LaHME,10000,5,0,28
Measured2,RLCD,10000,5,0.41666666666666663,16
Measured2,LaHME,10000,5,0,26
Simple_Case_Tree,RLCD,10000,5,0.8,5
Simple_Case_Tree,LaHME,10000,5,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,5,1,0
Tree_Case_Flexible,LaHME,10000,5,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,10000,5,0.7878787878787877,7
Latent_Hierarchical_Structure,LaHME,10000,5,0.2,24
LLCM_Flexible,RLCD,10000,5,0.7317073170731706,17
LLCM_Flexible,LaHME,10000,5,0.5142857142857143,24
Measured1,RLCD,2000,6,0.7692307692307693,6
Measured1,LaHME,2000,6,0,27
Measured2,RLCD,2000,6,0.41666666666666663,16
Measured2,LaHME,2000,6,0,24
Simple_Case_Tree,RLCD,2000,6,0.8,5
Simple_Case_Tree,LaHME,2000,6,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,6,1,0
Tree_Case_Flexible,LaHME,2000,6,0.29629629629629634,19
Latent_Hierarchical_Structure,RLCD,2000,6,0.823529411764706,15
Latent_Hierarchical_Structure,LaHME,2000,6,0.2,24
LLCM_Flexible,RLCD,2000,6,0.6,18
LLCM_Flexible,LaHME,2000,6,0.37499999999999994,24
Measured1,RLCD,5000,6,0.7692307692307693,6
Measured1,LaHME,5000,6,0,27
Measured2,RLCD,5000,6,0.41666666666666663,16
Measured2,LaHME,5000,6,0,28
Simple_Case_Tree,RLCD,5000,6,0.8,5
Simple_Case_Tree,LaHME,5000,6,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,6,1,0
Tree_Case_Flexible,LaHME,5000,6,0.29629629629629634,19
Latent_Hierarchical_Structure,RLCD,5000,6,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,5000,6,0.2,24
LLCM_Flexible,RLCD,5000,6,0.5365853658536585,21
Measured1,RLCD,10000,6,0.7692307692307693,6
Measured1,LaHME,10000,6,0,28
Measured2,RLCD,10000,6,0.41666666666666663,16
Measured2,LaHME,10000,6,0,28
Simple_Case_Tree,RLCD,10000,6,0.8,5
Simple_Case_Tree,LaHME,10000,6,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,6,1,0
Tree_Case_Flexible,LaHME,10000,6,0.29629629629629634,19
Latent_Hierarchical_Structure,RLCD,10000,6,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,10000,6,0.2,24
LLCM_Flexible,RLCD,10000,6,0.5365853658536585,21
Measured1,RLCD,2000,7,0.7692307692307693,6
Measured1,LaHME,2000,7,0,28
Measured2,RLCD,2000,7,0.41666666666666663,16
Measured2,LaHME,2000,7,0,23
Simple_Case_Tree,RLCD,2000,7,0.8,5
Simple_Case_Tree,LaHME,2000,7,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,7,0.6666666666666666,9
Tree_Case_Flexible,LaHME,2000,7,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,2000,7,0.7647058823529411,12
Latent_Hierarchical_Structure,LaHME,2000,7,0.5806451612903226,13
LLCM_Flexible,RLCD,2000,7,0.3414634146341463,30
LLCM_Flexible,LaHME,2000,7,0.4117647058823529,26
Measured1,RLCD,5000,7,0.7692307692307693,6
Measured1,LaHME,5000,7,0,25
Measured2,RLCD,5000,7,0.41666666666666663,16
Measured2,LaHME,5000,7,0,23
Simple_Case_Tree,RLCD,5000,7,0.8,5
Simple_Case_Tree,LaHME,5000,7,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,7,1,0
Tree_Case_Flexible,LaHME,5000,7,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,5000,7,0.7647058823529411,12
Latent_Hierarchical_Structure,LaHME,5000,7,0.7647058823529411,8
LLCM_Flexible,RLCD,5000,7,0.7317073170731706,17
LLCM_Flexible,LaHME,5000,7,0.5,25
Measured1,RLCD,10000,7,0.7692307692307693,6
Measured1,LaHME,10000,7,0,29
Measured2,RLCD,10000,7,0.41666666666666663,16
Measured2,LaHME,10000,7,0,26
Simple_Case_Tree,RLCD,10000,7,0.8,5
Simple_Case_Tree,LaHME,10000,7,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,7,1,0
Tree_Case_Flexible,LaHME,10000,7,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,10000,7,0.7272727272727272,9
LLCM_Flexible,RLCD,10000,7,0.5853658536585366,21
LLCM_Flexible,LaHME,10000,7,0.35714285714285715,23
Measured1,RLCD,2000,8,0.7692307692307693,6
Measured1,LaHME,2000,8,0,26
Measured2,RLCD,2000,8,0.6086956521739131,11
Measured2,LaHME,2000,8,0,23
Simple_Case_Tree,RLCD,2000,8,0.8,5
