Scenario,Method,Sample_Size,Run_ID,F1 Score,SHD
Measured1,GES,2000,1,1.0,0
Measured1,PC,2000,1,0.9600000000000001,2
Measured2,GES,2000,1,1.0,0
Measured2,PC,2000,1,0.8421052631578948,9
Simple_Case_Tree,GES,2000,1,0.0,32
Simple_Case_Tree,PC,2000,1,0.0,32
Tree_Case_Flexible,GES,2000,1,0.18181818181818182,30
Tree_Case_Flexible,PC,2000,1,0.22222222222222224,21
Latent_Hierarchical_Structure,GES,2000,1,0.0,47
Latent_Hierarchical_Structure,PC,2000,1,0.0,33
LLCM_Flexible,GES,2000,1,0.25,34
LLCM_Flexible,PC,2000,1,0.2758620689655173,23
Measured1,GES,5000,1,1.0,0
Measured1,PC,5000,1,0.9600000000000001,2
Measured2,GES,5000,1,1.0,0
Measured2,PC,5000,1,0.8421052631578948,9
Simple_Case_Tree,GES,5000,1,0.0,35
Simple_Case_Tree,PC,5000,1,0.0,32
Tree_Case_Flexible,GES,5000,1,0.18181818181818182,30
Tree_Case_Flexible,PC,5000,1,0.21428571428571427,22
Latent_Hierarchical_Structure,GES,5000,1,0.0,49
Latent_Hierarchical_Structure,PC,5000,1,0.0,31
LLCM_Flexible,GES,5000,1,0.22727272727272727,38
LLCM_Flexible,PC,5000,1,0.25,26
Measured1,GES,10000,1,1.0,0
Measured1,PC,10000,1,1.0,2
Measured2,GES,10000,1,1.0,0
Measured2,PC,10000,1,0.9,9
Simple_Case_Tree,GES,10000,1,0.0,37
Simple_Case_Tree,PC,10000,1,0.0,32
Tree_Case_Flexible,GES,10000,1,0.1764705882352941,28
Tree_Case_Flexible,PC,10000,1,0.19999999999999998,24
Latent_Hierarchical_Structure,GES,10000,1,0.0,55
Latent_Hierarchical_Structure,PC,10000,1,0.0,36
LLCM_Flexible,GES,10000,1,0.24390243902439024,35
LLCM_Flexible,PC,10000,1,0.25,26
Measured1,GES,2000,2,0.888888888888889,11
Measured1,PC,2000,2,0.9600000000000001,2
Measured2,GES,2000,2,0.9565217391304348,6
