Scenario,Method,Sample_Size,Run_ID,F1 Score,SHD
Measured1,GES,2000,1,1.0,0
Measured2,GES,2000,1,1.0,0
Simple_Case_Tree,GES,2000,1,0.0,34
Tree_Case_Flexible,GES,2000,1,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,2000,1,0.0,48
LLCM_Flexible,GES,2000,1,0.25,34
Measured1,GES,5000,1,1.0,0
Measured2,GES,5000,1,1.0,0
Simple_Case_Tree,GES,5000,1,0.0,36
Tree_Case_Flexible,GES,5000,1,0.18181818181818182,30
Latent_Hierarchical_Structure,GES,5000,1,0.0,52
LLCM_Flexible,GES,5000,1,0.24390243902439024,35
Measured1,GES,10000,1,0.962962962962963,2
Measured2,GES,10000,1,0.9565217391304348,6
Simple_Case_Tree,GES,10000,1,0.0,36
Tree_Case_Flexible,GES,10000,1,0.17142857142857143,30
Latent_Hierarchical_Structure,GES,10000,1,0.0,56
LLCM_Flexible,GES,10000,1,0.17391304347826086,40
Measured1,GES,2000,2,0.888888888888889,11
Measured2,GES,2000,2,1.0,0
Simple_Case_Tree,GES,2000,2,0.0,34
Tree_Case_Flexible,GES,2000,2,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,2000,2,0.0,44
LLCM_Flexible,GES,2000,2,0.22727272727272727,34
Measured1,GES,5000,2,0.888888888888889,11
Measured2,GES,5000,2,1.0,0
Simple_Case_Tree,GES,5000,2,0.0,36
Tree_Case_Flexible,GES,5000,2,0.1875,26
Latent_Hierarchical_Structure,GES,5000,2,0.0,49
LLCM_Flexible,GES,5000,2,0.23255813953488372,33
Measured1,GES,10000,2,0.888888888888889,11
Measured2,GES,10000,2,1.0,0
Simple_Case_Tree,GES,10000,2,0.0,38
Tree_Case_Flexible,GES,10000,2,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,10000,2,0.0,53
LLCM_Flexible,GES,10000,2,0.22222222222222224,35
Measured1,GES,2000,3,1.0,0
Measured2,GES,2000,3,0.9090909090909091,5
Simple_Case_Tree,GES,2000,3,0.0,32
Tree_Case_Flexible,GES,2000,3,0.19999999999999998,24
Latent_Hierarchical_Structure,GES,2000,3,0.0,41
LLCM_Flexible,GES,2000,3,0.22727272727272727,34
Measured1,GES,5000,3,0.962962962962963,2
Measured2,GES,5000,3,0.9090909090909091,5
Simple_Case_Tree,GES,5000,3,0.0,34
Tree_Case_Flexible,GES,5000,3,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,3,0.0,44
LLCM_Flexible,GES,5000,3,0.22222222222222224,35
Measured1,GES,10000,3,1.0,0
Measured2,GES,10000,3,0.9090909090909091,5
Simple_Case_Tree,GES,10000,3,0.0,34
Tree_Case_Flexible,GES,10000,3,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,10000,3,0.0,45
LLCM_Flexible,GES,10000,3,0.2173913043478261,36
Measured1,GES,2000,4,1.0,0
Measured2,GES,2000,4,1.0,0
Simple_Case_Tree,GES,2000,4,0.0,30
Tree_Case_Flexible,GES,2000,4,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,2000,4,0.0,39
LLCM_Flexible,GES,2000,4,0.24390243902439024,31
Measured1,GES,5000,4,1.0,0
Measured2,GES,5000,4,1.0,0
Simple_Case_Tree,GES,5000,4,0.0,32
Tree_Case_Flexible,GES,5000,4,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,4,0.0,41
LLCM_Flexible,GES,5000,4,0.22222222222222224,35
Measured1,GES,10000,4,1.0,0
Measured2,GES,10000,4,1.0,0
Simple_Case_Tree,GES,10000,4,0.0,35
Tree_Case_Flexible,GES,10000,4,0.1764705882352941,31
Latent_Hierarchical_Structure,GES,10000,4,0.0,45
LLCM_Flexible,GES,10000,4,0.22222222222222224,35
Measured1,GES,2000,5,1.0,0
Measured2,GES,2000,5,0.7272727272727273,7
Simple_Case_Tree,GES,2000,5,0.0,36
Tree_Case_Flexible,GES,2000,5,0.20689655172413796,23
Latent_Hierarchical_Structure,GES,2000,5,0.0,39
LLCM_Flexible,GES,2000,5,0.17391304347826086,39
Measured1,GES,5000,5,1.0,0
Measured2,GES,5000,5,0.9565217391304348,6
Simple_Case_Tree,GES,5000,5,0.0,37
Tree_Case_Flexible,GES,5000,5,0.1875,26
Latent_Hierarchical_Structure,GES,5000,5,0.0,43
LLCM_Flexible,GES,5000,5,0.17391304347826086,39
Measured1,GES,10000,5,1.0,0
Measured2,GES,10000,5,1.0,0
Simple_Case_Tree,GES,10000,5,0.0,38
Tree_Case_Flexible,GES,10000,5,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,10000,5,0.0,43
LLCM_Flexible,GES,10000,5,0.2127659574468085,39
Measured1,GES,2000,6,0.962962962962963,2
Measured2,GES,2000,6,0.8695652173913043,6
Simple_Case_Tree,GES,2000,6,0.0,35
Tree_Case_Flexible,GES,2000,6,0.1875,29
Latent_Hierarchical_Structure,GES,2000,6,0.0,51
LLCM_Flexible,GES,2000,6,0.22222222222222224,35
Measured1,GES,5000,6,1.0,0
Measured2,GES,5000,6,1.0,0
Simple_Case_Tree,GES,5000,6,0.0,36
Tree_Case_Flexible,GES,5000,6,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,6,0.0,56
LLCM_Flexible,GES,5000,6,0.2127659574468085,37
Measured1,GES,10000,6,0.962962962962963,2
Measured2,GES,10000,6,0.9565217391304348,1
Simple_Case_Tree,GES,10000,6,0.0,37
Tree_Case_Flexible,GES,10000,6,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,10000,6,0.0,62
LLCM_Flexible,GES,10000,6,0.23255813953488372,33
Measured1,GES,2000,7,0.888888888888889,14
Measured2,GES,2000,7,0.9166666666666666,3
Simple_Case_Tree,GES,2000,7,0.0,37
Tree_Case_Flexible,GES,2000,7,0.19999999999999998,24
Latent_Hierarchical_Structure,GES,2000,7,0.0,45
LLCM_Flexible,GES,2000,7,0.2127659574468085,37
Measured1,GES,5000,7,1.0,0
Measured2,GES,5000,7,0.9565217391304348,3
Simple_Case_Tree,GES,5000,7,0.0,37
Tree_Case_Flexible,GES,5000,7,0.1875,26
Latent_Hierarchical_Structure,GES,5000,7,0.0,46
LLCM_Flexible,GES,5000,7,0.20833333333333331,38
Measured1,GES,10000,7,0.888888888888889,13
Measured2,GES,10000,7,1.0,0
Simple_Case_Tree,GES,10000,7,0.0,40
Tree_Case_Flexible,GES,10000,7,0.1875,26
Latent_Hierarchical_Structure,GES,10000,7,0.0,49
LLCM_Flexible,GES,10000,7,0.2,40
Measured1,GES,2000,8,0.8571428571428571,11
Measured2,GES,2000,8,0.9523809523809523,1
Simple_Case_Tree,GES,2000,8,0.0,34
Tree_Case_Flexible,GES,2000,8,0.19999999999999998,25
Latent_Hierarchical_Structure,GES,2000,8,0.0,41
LLCM_Flexible,GES,2000,8,0.25641025641025644,29
Measured1,GES,5000,8,1.0,0
Measured2,GES,5000,8,0.9523809523809523,1
Simple_Case_Tree,GES,5000,8,0.0,34
Tree_Case_Flexible,GES,5000,8,0.19999999999999998,27
Latent_Hierarchical_Structure,GES,5000,8,0.0,46
LLCM_Flexible,GES,5000,8,0.23255813953488372,33
Measured1,GES,10000,8,1.0,0
Measured2,GES,10000,8,0.9523809523809523,1
Simple_Case_Tree,GES,10000,8,0.0,35
Tree_Case_Flexible,GES,10000,8,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,10000,8,0.0,45
LLCM_Flexible,GES,10000,8,0.22727272727272727,34
Measured1,GES,2000,9,1.0,0
Measured2,GES,2000,9,0.9565217391304348,1
Simple_Case_Tree,GES,2000,9,0.0,31
Tree_Case_Flexible,GES,2000,9,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,2000,9,0.0,41
LLCM_Flexible,GES,2000,9,0.20833333333333331,38
Measured1,GES,5000,9,0.962962962962963,3
Measured2,GES,5000,9,0.9565217391304348,1
Simple_Case_Tree,GES,5000,9,0.0,36
Tree_Case_Flexible,GES,5000,9,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,9,0.0,46
LLCM_Flexible,GES,5000,9,0.19607843137254902,41
Measured1,GES,10000,9,0.9285714285714286,3
Measured2,GES,10000,9,0.9565217391304348,1
Simple_Case_Tree,GES,10000,9,0.0,37
Tree_Case_Flexible,GES,10000,9,0.17142857142857143,32
Latent_Hierarchical_Structure,GES,10000,9,0.0,56
LLCM_Flexible,GES,10000,9,0.17857142857142858,47
Measured1,GES,2000,10,0.962962962962963,1
Measured2,GES,2000,10,0.9166666666666666,7
Simple_Case_Tree,GES,2000,10,0.0,30
Tree_Case_Flexible,GES,2000,10,0.15789473684210525,33
Latent_Hierarchical_Structure,GES,2000,10,0.0,38
LLCM_Flexible,GES,2000,10,0.24390243902439024,31
Measured1,GES,5000,10,1.0,0
Measured2,GES,5000,10,1.0,0
Simple_Case_Tree,GES,5000,10,0.0,30
Tree_Case_Flexible,GES,5000,10,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,5000,10,0.0,39
LLCM_Flexible,GES,5000,10,0.23255813953488372,33
Measured1,GES,10000,10,1.0,0
Measured2,GES,10000,10,1.0,0
Simple_Case_Tree,GES,10000,10,0.0,33
Tree_Case_Flexible,GES,10000,10,0.16216216216216214,31
Latent_Hierarchical_Structure,GES,10000,10,0.0,44
LLCM_Flexible,GES,10000,10,0.23809523809523808,32
Measured1,GES,2000,11,0.9230769230769231,12
Measured2,GES,2000,11,1.0,0
Simple_Case_Tree,GES,2000,11,0.0,37
Tree_Case_Flexible,GES,2000,11,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,2000,11,0.0,46
LLCM_Flexible,GES,2000,11,0.2173913043478261,37
Measured1,GES,5000,11,0.9230769230769231,12
Measured2,GES,5000,11,1.0,0
Simple_Case_Tree,GES,5000,11,0.0,38
Tree_Case_Flexible,GES,5000,11,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,5000,11,0.0,48
LLCM_Flexible,GES,5000,11,0.16,43
Measured1,GES,10000,11,0.9230769230769231,12
Measured2,GES,10000,11,0.9565217391304348,3
Simple_Case_Tree,GES,10000,11,0.0,40
Tree_Case_Flexible,GES,10000,11,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,10000,11,0.0,50
LLCM_Flexible,GES,10000,11,0.19607843137254902,42
Measured1,GES,2000,12,0.896551724137931,7
Measured2,GES,2000,12,1.0,0
Simple_Case_Tree,GES,2000,12,0.0,31
Tree_Case_Flexible,GES,2000,12,0.1875,26
Latent_Hierarchical_Structure,GES,2000,12,0.0,45
LLCM_Flexible,GES,2000,12,0.20408163265306123,39
Measured1,GES,5000,12,1.0,0
Measured2,GES,5000,12,1.0,0
Simple_Case_Tree,GES,5000,12,0.0,34
Tree_Case_Flexible,GES,5000,12,0.1764705882352941,31
Latent_Hierarchical_Structure,GES,5000,12,0.0,51
LLCM_Flexible,GES,5000,12,0.23809523809523808,32
Measured1,GES,10000,12,1.0,0
Measured2,GES,10000,12,1.0,0
Simple_Case_Tree,GES,10000,12,0.0,38
Tree_Case_Flexible,GES,10000,12,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,10000,12,0.0,54
LLCM_Flexible,GES,10000,12,0.2173913043478261,36
Measured1,GES,2000,13,0.7857142857142856,12
Measured2,GES,2000,13,0.6666666666666667,11
Simple_Case_Tree,GES,2000,13,0.0,31
Tree_Case_Flexible,GES,2000,13,0.20689655172413796,23
Latent_Hierarchical_Structure,GES,2000,13,0.0,38
LLCM_Flexible,GES,2000,13,0.20512820512820512,34
Measured1,GES,5000,13,1.0,0
Measured2,GES,5000,13,1.0,0
Simple_Case_Tree,GES,5000,13,0.0,37
Tree_Case_Flexible,GES,5000,13,0.1875,29
Latent_Hierarchical_Structure,GES,5000,13,0.0,41
LLCM_Flexible,GES,5000,13,0.24390243902439024,35
Measured1,GES,10000,13,1.0,0
Measured2,GES,10000,13,1.0,0
Simple_Case_Tree,GES,10000,13,0.0,38
Tree_Case_Flexible,GES,10000,13,0.1935483870967742,28
Latent_Hierarchical_Structure,GES,10000,13,0.0,41
LLCM_Flexible,GES,10000,13,0.23255813953488372,37
Measured1,GES,2000,14,0.962962962962963,2
Measured2,GES,2000,14,0.9523809523809523,1
Simple_Case_Tree,GES,2000,14,0.0,34
Tree_Case_Flexible,GES,2000,14,0.20689655172413796,23
Latent_Hierarchical_Structure,GES,2000,14,0.0,42
LLCM_Flexible,GES,2000,14,0.24390243902439024,31
Measured1,GES,5000,14,0.8275862068965517,13
Measured2,GES,5000,14,0.9090909090909091,3
Simple_Case_Tree,GES,5000,14,0.0,34
Tree_Case_Flexible,GES,5000,14,0.19999999999999998,24
Latent_Hierarchical_Structure,GES,5000,14,0.0,49
LLCM_Flexible,GES,5000,14,0.24390243902439024,31
Measured1,GES,10000,14,0.962962962962963,1
Measured2,GES,10000,14,0.9090909090909091,2
Simple_Case_Tree,GES,10000,14,0.0,33
Tree_Case_Flexible,GES,10000,14,0.1875,26
Latent_Hierarchical_Structure,GES,10000,14,0.0,52
LLCM_Flexible,GES,10000,14,0.22727272727272727,34
Measured1,GES,2000,15,1.0,0
Measured2,GES,2000,15,1.0,0
Simple_Case_Tree,GES,2000,15,0.0,33
Tree_Case_Flexible,GES,2000,15,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,2000,15,0.0,44
LLCM_Flexible,GES,2000,15,0.23255813953488372,33
Measured1,GES,5000,15,1.0,0
Measured2,GES,5000,15,1.0,0
Simple_Case_Tree,GES,5000,15,0.0,35
Tree_Case_Flexible,GES,5000,15,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,5000,15,0.0,48
LLCM_Flexible,GES,5000,15,0.22222222222222224,35
Measured1,GES,10000,15,1.0,0
Measured2,GES,10000,15,1.0,0
Simple_Case_Tree,GES,10000,15,0.0,37
Tree_Case_Flexible,GES,10000,15,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,10000,15,0.0,52
LLCM_Flexible,GES,10000,15,0.22222222222222224,35
Measured1,GES,2000,16,1.0,0
Measured2,GES,2000,16,0.9090909090909091,5
Simple_Case_Tree,GES,2000,16,0.0,33
Tree_Case_Flexible,GES,2000,16,0.19999999999999998,27
Latent_Hierarchical_Structure,GES,2000,16,0.0,44
LLCM_Flexible,GES,2000,16,0.2,41
Measured1,GES,5000,16,0.962962962962963,3
Measured2,GES,5000,16,1.0,0
Simple_Case_Tree,GES,5000,16,0.0,35
Tree_Case_Flexible,GES,5000,16,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,16,0.0,48
LLCM_Flexible,GES,5000,16,0.22222222222222224,35
Measured1,GES,10000,16,0.962962962962963,3
Measured2,GES,10000,16,0.9565217391304348,1
Simple_Case_Tree,GES,10000,16,0.0,37
Tree_Case_Flexible,GES,10000,16,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,10000,16,0.0,52
LLCM_Flexible,GES,10000,16,0.22222222222222224,35
Measured1,GES,2000,17,1.0,0
Measured2,GES,2000,17,1.0,0
Simple_Case_Tree,GES,2000,17,0.0,32
Tree_Case_Flexible,GES,2000,17,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,2000,17,0.0,47
LLCM_Flexible,GES,2000,17,0.20833333333333331,41
Measured1,GES,5000,17,1.0,0
Measured2,GES,5000,17,1.0,0
Simple_Case_Tree,GES,5000,17,0.0,35
Tree_Case_Flexible,GES,5000,17,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,17,0.0,51
LLCM_Flexible,GES,5000,17,0.2127659574468085,39
Measured1,GES,10000,17,1.0,0
Measured2,GES,10000,17,1.0,0
Simple_Case_Tree,GES,10000,17,0.0,38
Tree_Case_Flexible,GES,10000,17,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,10000,17,0.0,56
LLCM_Flexible,GES,10000,17,0.19607843137254902,43
Measured1,GES,2000,18,0.962962962962963,2
Measured2,GES,2000,18,1.0,0
Simple_Case_Tree,GES,2000,18,0.0,32
Tree_Case_Flexible,GES,2000,18,0.1875,29
Latent_Hierarchical_Structure,GES,2000,18,0.0,44
LLCM_Flexible,GES,2000,18,0.25,30
Measured1,GES,5000,18,1.0,0
Measured2,GES,5000,18,1.0,0
