Scenario,Method,Threshold,Sample_Size,Run_ID,F1 Score,SHD
Simple_Case_Tree,RLCD,symmetric,10000,1,0.8,5
Simple_Case_Tree,LaHME,symmetric,10000,1,0.25,12
Simple_Case_Tree,RLCD,mild,10000,1,0.4827586206896552,18
Simple_Case_Tree,LaHME,mild,10000,1,0.48,13
Simple_Case_Tree,RLCD,moderate,10000,1,0.5,16
Simple_Case_Tree,LaHME,moderate,10000,1,0.48,13
Latent_Hierarchical_Structure,LaHME,symmetric,10000,1,0.4444444444444444,15
Latent_Hierarchical_Structure,RLCD,mild,10000,1,0.4943820224719102,33
Latent_Hierarchical_Structure,LaHME,mild,10000,1,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,1,0.5405405405405405,17
Latent_Hierarchical_Structure,LaHME,moderate,10000,1,0.0,18
Fanning,RLCD,symmetric,10000,1,0.4782608695652173,26
Fanning,LaHME,symmetric,10000,1,0.0,20
Fanning,RLCD,mild,10000,1,0.4727272727272728,33
Fanning,LaHME,mild,10000,1,0.0,20
Fanning,RLCD,moderate,10000,1,0.34375,50
Fanning,LaHME,moderate,10000,1,0.0,20
Simple_Case_Tree,RLCD,symmetric,10000,2,0.6923076923076924,8
Simple_Case_Tree,LaHME,symmetric,10000,2,0.4,15
Simple_Case_Tree,RLCD,mild,10000,2,0.7407407407407408,11
Simple_Case_Tree,LaHME,mild,10000,2,0.48,13
Simple_Case_Tree,RLCD,moderate,10000,2,0.4827586206896552,15
Simple_Case_Tree,LaHME,moderate,10000,2,0.48,13
Latent_Hierarchical_Structure,RLCD,symmetric,10000,2,0.5283018867924528,38
Latent_Hierarchical_Structure,LaHME,symmetric,10000,2,0.3333333333333333,16
Latent_Hierarchical_Structure,RLCD,mild,10000,2,0.5238095238095238,31
Latent_Hierarchical_Structure,LaHME,mild,10000,2,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,2,0.5142857142857143,17
Latent_Hierarchical_Structure,LaHME,moderate,10000,2,0.0,18
Fanning,RLCD,symmetric,10000,2,0.6511627906976744,22
Fanning,LaHME,symmetric,10000,2,0.3333333333333333,18
Fanning,RLCD,mild,10000,2,0.4313725490196078,34
Fanning,LaHME,mild,10000,2,0.0,20
Fanning,RLCD,moderate,10000,2,0.5454545454545454,27
Fanning,LaHME,moderate,10000,2,0.0,20
Simple_Case_Tree,RLCD,symmetric,10000,3,0.7692307692307692,6
Simple_Case_Tree,LaHME,symmetric,10000,3,0.4545454545454545,12
Simple_Case_Tree,RLCD,mild,10000,3,0.4827586206896552,20
Simple_Case_Tree,LaHME,mild,10000,3,0.4166666666666667,14
Simple_Case_Tree,RLCD,moderate,10000,3,0.4827586206896552,20
Simple_Case_Tree,LaHME,moderate,10000,3,0.2352941176470588,13
Latent_Hierarchical_Structure,RLCD,symmetric,10000,3,0.4210526315789473,37
Latent_Hierarchical_Structure,LaHME,symmetric,10000,3,0.5517241379310345,13
Latent_Hierarchical_Structure,RLCD,mild,10000,3,0.5116279069767442,32
Latent_Hierarchical_Structure,LaHME,mild,10000,3,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,3,0.5714285714285715,30
Latent_Hierarchical_Structure,LaHME,moderate,10000,3,0.0,18
Fanning,RLCD,symmetric,10000,3,0.6521739130434783,22
Fanning,LaHME,symmetric,10000,3,0.0,20
Fanning,RLCD,mild,10000,3,0.6818181818181818,20
Fanning,LaHME,mild,10000,3,0.0,20
Fanning,RLCD,moderate,10000,3,0.4782608695652173,30
Fanning,LaHME,moderate,10000,3,0.0,20
Simple_Case_Tree,RLCD,symmetric,10000,4,0.5714285714285715,12
Simple_Case_Tree,LaHME,symmetric,10000,4,0.4545454545454545,12
Simple_Case_Tree,RLCD,mild,10000,4,0.4666666666666666,19
Simple_Case_Tree,LaHME,mild,10000,4,0.4166666666666667,14
Simple_Case_Tree,RLCD,moderate,10000,4,0.4516129032258065,22
Simple_Case_Tree,LaHME,moderate,10000,4,0.3,14
Latent_Hierarchical_Structure,RLCD,symmetric,10000,4,0.4166666666666667,38
Latent_Hierarchical_Structure,LaHME,symmetric,10000,4,0.3846153846153846,16
Latent_Hierarchical_Structure,RLCD,mild,10000,4,0.5238095238095238,31
Latent_Hierarchical_Structure,LaHME,mild,10000,4,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,4,0.5,20
Latent_Hierarchical_Structure,LaHME,moderate,10000,4,0.0,18
Fanning,RLCD,symmetric,10000,4,0.6341463414634146,17
Fanning,LaHME,symmetric,10000,4,0.0,20
Fanning,RLCD,mild,10000,4,0.375,32
Fanning,LaHME,mild,10000,4,0.0,20
Fanning,RLCD,moderate,10000,4,0.509090909090909,36
Fanning,LaHME,moderate,10000,4,0.0,20
Simple_Case_Tree,RLCD,symmetric,10000,5,0.8,5
Simple_Case_Tree,LaHME,symmetric,10000,5,0.4166666666666667,14
Simple_Case_Tree,RLCD,mild,10000,5,0.7692307692307692,16
Simple_Case_Tree,LaHME,mild,10000,5,0.3529411764705882,11
Simple_Case_Tree,RLCD,moderate,10000,5,0.6923076923076924,8
Simple_Case_Tree,LaHME,moderate,10000,5,0.3333333333333333,12
Latent_Hierarchical_Structure,RLCD,symmetric,10000,5,0.5789473684210527,23
Latent_Hierarchical_Structure,LaHME,symmetric,10000,5,0.5714285714285714,12
Latent_Hierarchical_Structure,RLCD,mild,10000,5,0.2857142857142857,36
Latent_Hierarchical_Structure,LaHME,mild,10000,5,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,5,0.4705882352941176,32
Latent_Hierarchical_Structure,LaHME,moderate,10000,5,0.0,18
Fanning,RLCD,symmetric,10000,5,0.8717948717948718,7
Fanning,LaHME,symmetric,10000,5,0.0,20
Fanning,LaHME,mild,10000,5,0.0,20
Fanning,RLCD,moderate,10000,5,0.3829787234042553,32
Fanning,LaHME,moderate,10000,5,0.0,20
Fanning,RLCD,mild,10000,5,0.4705882352941176,33
Simple_Case_Tree,RLCD,symmetric,10000,6,0.4827586206896552,15
Simple_Case_Tree,LaHME,symmetric,10000,6,0.5,14
Simple_Case_Tree,RLCD,mild,10000,6,0.6206896551724139,12
Simple_Case_Tree,LaHME,mild,10000,6,0.4166666666666667,14
Simple_Case_Tree,RLCD,moderate,10000,6,0.6923076923076924,8
Simple_Case_Tree,LaHME,moderate,10000,6,0.3333333333333333,12
Latent_Hierarchical_Structure,RLCD,symmetric,10000,6,0.3255813953488372,35
Latent_Hierarchical_Structure,LaHME,symmetric,10000,6,0.3846153846153846,16
Latent_Hierarchical_Structure,RLCD,mild,10000,6,0.55,29
Latent_Hierarchical_Structure,LaHME,mild,10000,6,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,6,0.5263157894736842,19
Latent_Hierarchical_Structure,LaHME,moderate,10000,6,0.0,18
Fanning,RLCD,symmetric,10000,6,0.6464646464646464,27
Fanning,LaHME,symmetric,10000,6,0.0,20
Fanning,RLCD,mild,10000,6,0.5416666666666667,30
Fanning,LaHME,mild,10000,6,0.0,20
Fanning,RLCD,moderate,10000,6,0.4,35
Fanning,LaHME,moderate,10000,6,0.0,20
Simple_Case_Tree,RLCD,symmetric,10000,7,0.6923076923076924,8
Simple_Case_Tree,LaHME,symmetric,10000,7,0.48,13
Simple_Case_Tree,RLCD,mild,10000,7,0.5185185185185186,13
Simple_Case_Tree,LaHME,mild,10000,7,0.4166666666666667,14
Simple_Case_Tree,RLCD,moderate,10000,7,0.5,18
Simple_Case_Tree,LaHME,moderate,10000,7,0.48,13
Latent_Hierarchical_Structure,RLCD,symmetric,10000,7,0.5217391304347826,32
Latent_Hierarchical_Structure,LaHME,symmetric,10000,7,0.0,18
Latent_Hierarchical_Structure,RLCD,mild,10000,7,0.4782608695652174,31
Latent_Hierarchical_Structure,LaHME,mild,10000,7,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,7,0.55,22
Latent_Hierarchical_Structure,LaHME,moderate,10000,7,0.0,18
Fanning,RLCD,symmetric,10000,7,0.8000000000000002,10
Fanning,LaHME,symmetric,10000,7,0.0,20
Fanning,RLCD,mild,10000,7,0.5106382978723405,26
Fanning,LaHME,mild,10000,7,0.0,20
Fanning,RLCD,moderate,10000,7,0.5217391304347826,26
Fanning,LaHME,moderate,10000,7,0.0,20
Simple_Case_Tree,RLCD,symmetric,10000,8,0.5925925925925926,11
Simple_Case_Tree,LaHME,symmetric,10000,8,0.2352941176470588,13
Simple_Case_Tree,RLCD,mild,10000,8,0.5517241379310345,13
Simple_Case_Tree,LaHME,mild,10000,8,0.4166666666666667,14
Simple_Case_Tree,RLCD,moderate,10000,8,0.6923076923076924,8
Simple_Case_Tree,LaHME,moderate,10000,8,0.48,13
Latent_Hierarchical_Structure,RLCD,symmetric,10000,8,0.2083333333333333,43
Latent_Hierarchical_Structure,LaHME,symmetric,10000,8,0.3846153846153846,16
Latent_Hierarchical_Structure,RLCD,mild,10000,8,0.391304347826087,36
Latent_Hierarchical_Structure,LaHME,mild,10000,8,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,8,0.3636363636363636,21
Latent_Hierarchical_Structure,LaHME,moderate,10000,8,0.0,18
Fanning,RLCD,symmetric,10000,8,0.48,29
Fanning,LaHME,symmetric,10000,8,0.0,20
Fanning,RLCD,mild,10000,8,0.4705882352941176,30
Fanning,LaHME,mild,10000,8,0.0,20
Fanning,RLCD,moderate,10000,8,0.425531914893617,33
Fanning,LaHME,moderate,10000,8,0.0,20
Simple_Case_Tree,RLCD,symmetric,10000,9,0.5714285714285715,12
Simple_Case_Tree,LaHME,symmetric,10000,9,0.4210526315789474,11
Simple_Case_Tree,RLCD,mild,10000,9,0.6666666666666665,18
Simple_Case_Tree,LaHME,mild,10000,9,0.48,13
Simple_Case_Tree,RLCD,moderate,10000,9,0.6666666666666665,9
Simple_Case_Tree,LaHME,moderate,10000,9,0.4166666666666667,14
Latent_Hierarchical_Structure,RLCD,symmetric,10000,9,0.5555555555555556,16
Latent_Hierarchical_Structure,LaHME,symmetric,10000,9,0.2727272727272727,16
Latent_Hierarchical_Structure,RLCD,mild,10000,9,0.5405405405405405,22
Latent_Hierarchical_Structure,LaHME,mild,10000,9,0.0,18
Latent_Hierarchical_Structure,RLCD,moderate,10000,9,0.4835164835164836,34
Latent_Hierarchical_Structure,LaHME,moderate,10000,9,0.0,18
Fanning,RLCD,symmetric,10000,9,0.7692307692307692,12
Fanning,LaHME,symmetric,10000,9,0.0,20
Fanning,RLCD,mild,10000,9,0.3050847457627119,45
Fanning,LaHME,mild,10000,9,0.0,20
Fanning,RLCD,moderate,10000,9,0.4090909090909091,30
Fanning,LaHME,moderate,10000,9,0.0,20
Simple_Case_Tree,RLCD,symmetric,10000,10,0.6923076923076924,8
Simple_Case_Tree,LaHME,symmetric,10000,10,0.48,13
Simple_Case_Tree,RLCD,mild,10000,10,0.6153846153846153,10
Simple_Case_Tree,LaHME,mild,10000,10,0.48,13
